Round;Pick;Overall Pick;Position;Player Name;Team;Manager;;;;;
7;10;94;;;;Ex Hincha de los Pats;;;;;
7;11;95;;;;Chilenos Zementerios;;;;;
7;12;96;;;;Gonnet State Pumitas;;;;;
7;13;97;;;;MTF NCAA BO State;;;;;
7;14;98;;;;The Giannis Rams;;;;;
8;1;99;;;;Monte Grande State Rigids;;;;;
8;2;100;;;;Little Giants;;;;;
8;3;101;;;;BananaPetroleo State;;;;;
8;4;102;;;;The K Nasty;;;;;
8;5;103;;;;La Chosia NCAA MTF;;;;;
8;6;104;;;;Sabermetrics 101;;;;;
8;7;105;;;;Sack State;;;;;
8;8;106;;;;Gran Miel SU;;;;;
8;9;107;;;;Universidad de La Matanza;;;;;
8;10;108;;;;Gonnet State Pumitas;;;;;
8;11;109;;;;Chilenos Zementerios;;;;;
8;12;110;;;;Gonnet State Pumitas;;;;;
8;13;111;;;;MTF NCAA BO State;;;;;
8;14;112;;;;The Giannis Rams;;;;;
9;1;113;;;;Monte Grande State Rigids;;;;;
9;2;114;;;;Little Giants;;;;;
9;3;115;;;;BananaPetroleo State;;;;;
9;4;116;;;;The K Nasty;;;;;
9;5;117;;;;La Chosia NCAA MTF;;;;;
9;6;118;;;;Sabermetrics 101;;;;;
9;7;119;;;;Sack State;;;;;
9;8;120;;;;Gran Miel SU;;;;;
9;9;121;;;;Universidad de La Matanza;;;;;
9;10;122;;;;Ex Hincha de los Pats;;;;;
9;11;123;;;;Chilenos Zementerios;;;;;
9;12;124;;;;Gonnet State Pumitas;;;;;
9;13;125;;;;MTF NCAA BO State;;;;;
9;14;126;;;;Gran Miel SU;;;;;
10;1;127;;;;Monte Grande State Rigids;;;;;
10;2;128;;;;Little Giants;;;;;
10;3;129;;;;BananaPetroleo State;;;;;
10;4;130;;;;The K Nasty;;;;;
10;5;131;;;;La Chosia NCAA MTF;;;;;
10;6;132;;;;Sabermetrics 101;;;;;
10;7;133;;;;Sack State;;;;;
10;8;134;;;;Gran Miel SU;;;;;
10;9;135;;;;Universidad de La Matanza;;;;;
10;10;136;;;;Ex Hincha de los Pats;;;;;
10;11;137;;;;Chilenos Zementerios;;;;;
10;12;138;;;;Gonnet State Pumitas;;;;;
10;13;139;;;;MTF NCAA BO State;;;;;
10;14;140;;;;The Giannis Rams;;;;;
11;1;141;;;;Monte Grande State Rigids;;;;;
11;2;142;;;;Little Giants;;;;;
11;3;143;;;;BananaPetroleo State;;;;;
11;4;144;;;;The K Nasty;;;;;
11;5;145;;;;La Chosia NCAA MTF;;;;;
11;6;146;;;;Sabermetrics 101;;;;;
11;7;147;;;;Sack State;;;;;
11;8;148;;;;Gran Miel SU;;;;;
11;9;149;;;;Universidad de La Matanza;;;;;
11;10;150;;;;Ex Hincha de los Pats;;;;;
11;11;151;;;;Chilenos Zementerios;;;;;
11;12;152;;;;Gonnet State Pumitas;;;;;
11;13;153;;;;The Giannis Rams;;;;;
11;14;154;;;;The Giannis Rams;;;;;
12;1;155;;;;Monte Grande State Rigids;;;;;
12;2;156;;;;Little Giants;;;;;
12;3;157;;;;BananaPetroleo State;;;;;
12;4;158;;;;The K Nasty;;;;;
12;5;159;;;;La Chosia NCAA MTF;;;;;
12;6;160;;;;Sabermetrics 101;;;;;
12;7;161;;;;Sack State;;;;;
12;8;162;;;;Gran Miel SU;;;;;
12;9;163;;;;Universidad de La Matanza;;;;;
12;10;164;;;;Ex Hincha de los Pats;;;;;
12;11;165;;;;Chilenos Zementerios;;;;;
12;12;166;;;;Gonnet State Pumitas;;;;;
12;13;167;;;;MTF NCAA BO State;;;;;
12;14;168;;;;The Giannis Rams;;;;;
13;1;169;;;;Monte Grande State Rigids;;;;;
13;2;170;;;;Little Giants;;;;;
13;3;171;;;;BananaPetroleo State;;;;;
13;4;172;;;;The K Nasty;;;;;
13;5;173;;;;La Chosia NCAA MTF;;;;;
13;6;174;;;;Sabermetrics 101;;;;;
13;7;175;;;;Sack State;;;;;
13;8;176;;;;Gran Miel SU;;;;;
13;9;177;;;;Universidad de La Matanza;;;;;
13;10;178;;;;Ex Hincha de los Pats;;;;;
13;11;179;;;;Chilenos Zementerios;;;;;
13;12;180;;;;Ex Hincha de los Pats;;;;;
13;13;181;;;;MTF NCAA BO State;;;;;
13;14;182;;;;The Giannis Rams;;;;;
